,We VIP,"Deluxe House, 7th Floor, Plot B-50, Opposite New Link Road,Andheri Lokhandwala, Andheri West, Mumbai",,,"Andheri Lokhandwala, Andheri West", Mumbai,3500,3.7,no,yes,yes,no,yes,no
,Playboy Club,"Birla Centurion, Gate 2, PB Marg,Worli, Mumbai",,,Worli, Mumbai,2700,3.5,no,yes,yes,no,no,no
,Joey's Pizza,"6 & 7, Upvan Building, Near Indian Oil Colony, DN Nagar,Azad Nagar, Mumbai",,,Azad Nagar, Mumbai,800,4.1,yes,no,no,no,no,no
,HITCHKI,"002, First International Financial Centre, G Block,Bandra Kurla Complex, Mumbai",,,Bandra Kurla Complex, Mumbai,1500,3.6,no,yes,yes,yes,yes,no
,Talaiva,"3rd Floor,Trade View Building, Kamala Mills,Lower Parel, Mumbai",,,Lower Parel, Mumbai,1500,4,no,yes,yes,yes,yes,no
,D:OH!,"Ground Floor, Unit 2B, Trade View, Kamala City, Kamala Mills Compound, Senapati Bapat Marg,Lower Parel, Mumbai",,,Lower Parel, Mumbai,800,3.8,yes,yes,yes,no,yes,no
,1 Above,"Floor 2, Kamala Trade House, Kamala Mills Compound,Lower Parel, Mumbai",,,Lower Parel, Mumbai,3000,4.1,no,yes,yes,no,yes,no
,Farzi Cafe,"Kamala Mills, Near Radio Mirchi Office,Lower Parel, Mumbai",,,Lower Parel, Mumbai,1500,4.2,no,no,yes,no,yes,no
,Mojo's Bistro,"Level 2, Kamla Trade House, Kamala Mills Compound,Lower Parel, Mumbai",,,Lower Parel, Mumbai,1200,4.3,no,yes,yes,no,yes,yes
,The Bombay Canteen,"Ground Floor, Process House, Kamala Mills Compound, Near Radio Mirchi Office, S.B. Marg,Lower Parel, Mumbai",,,Lower Parel, Mumbai,2000,4.2,no,no,yes,no,yes,no
,FLYP@MTV,"1st Floor, Trade View Building, Next to Gate 4, Kamala Mills Compound, Senapati Bapat Marg,Lower Parel, Mumbai",,,Lower Parel, Mumbai,1400,4.1,no,yes,yes,no,no,no
,KODE,"Unit 11, Oasis City, Kamala Mills, Gate 4, Kamala Mills Compound,Lower Parel, Mumbai",,,Lower Parel, Mumbai,2400,4.6,no,yes,yes,no,yes,no
,Vortex Bandra,"Linking Road, Bandra West5th Floor, Crystal Shoppers Paradise,",,,"Linking Road, Bandra West", Mumbai,1000,3.1,no,no,yes,no,no,no
,MRP - My Regular Place,"20, Dharamputra, Pritam Estate,Dadar East, Mumbai",,,Dadar East, Mumbai,1300,3.8,no,yes,yes,yes,yes,no
,The DanSing Bottle,"Manpada, Thane WestShop 5 Kothari Compound , 9 Acres, Towards Neelkanth Woods, Next to Satyam Ford Service Center,",,,"Manpada, Thane West", Mumbai,1000,3.8,no,yes,yes,yes,yes,no
,Pure Milk Centre,"19/20, Vikrant, RB Mehta Marg, Tilak Road,Ghatkopar East, Mumbai",,,Ghatkopar East, Mumbai,450,3.6,yes,no,no,no,no,no
,True Tramm Trunk,"Next to Options Showroom, First Floor, V.L. Mehta Road, J.V.P.D. Scheme,Juhu, Mumbai",,,Juhu, Mumbai,1200,3.8,no,yes,yes,no,yes,no
,Stacks And Racks,"Shop 1, Ganga Nivas, Opposite Toyota Showroom, Link Road,Malad West, Mumbai",,,Malad West, Mumbai,1000,4.5,no,yes,no,no,no,no
,KOKO Asian Gastropub,"C 2, Trade World, Kamala Mills, Near Radio Mirchi Office, SB Road,Lower Parel, Mumbai",,,Lower Parel, Mumbai,3000,4.4,no,yes,yes,yes,yes,no
,Penthouzz,"4th Floor, V Mall, Thakur Complex, Asha Nagar,Kandivali East, Mumbai",,,Kandivali East, Mumbai,1200,3.7,no,yes,yes,no,no,no
,Amanzi Sky Deck & Bar,"164, 3rd Floor, Cest La Vie,Hill Road, Bandra WestMe holy family hospital.",,,"Hill Road, Bandra West", Mumbai,2000,3.5,no,yes,yes,no,yes,no
,The Little Door,"B 31, Ground Floor, Shree Siddhivinayak Plaza, New Link Road,Veera Desai Area, Mumbai",,,Veera Desai Area, Mumbai,1500,3.8,yes,yes,yes,no,yes,no
,Tea Villa Cafe,"Hill Road, Bandra West31, Opposite Globus,",,,"Hill Road, Bandra West", Mumbai,1000,4.6,yes,no,no,yes,no,no
,Hoppipola,"135 / 138, Galleria Shopping Center, Hiranandani Garden,   400076.,Powai, Mumbai",,,Powai, Mumbai,1500,3.8,no,yes,yes,no,no,no
,Persian Darbar,"Shop 101 - 102, Noori Baug, Andheri Kurla Road,MarolNaka, Marol, Mumbai",,,Marol, Marol,1300,3.8,yes,no,no,no,yes,no
,Casa Vito Bar & Cafe,"Linking Road, Bandra West3rd Floor, Link Corner Building, 33rd Road, Off Linking Road,",,,"Linking Road, Bandra West", Mumbai,1000,3.4,no,yes,yes,yes,yes,yes
,Bhagat Tarachand,"Shatrughan Tower, Sector 18,Vashi, Navi Mumbai",,,Vashi, Mumbai,450,3.9,yes,no,no,no,no,no
,MH04 The Drunk Yard,"Manpada, Thane WestC-1, B-1 Kothari Compound, 27 Acre, Beside Royal Enfield Service Center, Chitalsar,",,,"Manpada, Thane West", Mumbai,1200,4.1,no,yes,yes,no,no,no
,Coffee By Di Bella,"Versova, Andheri WestShop 6/7, Shubham Co-op Housing Society, Juhu Versova Link Road,",,,"Versova, Andheri West", Mumbai,650,4.1,yes,no,no,no,no,no
,Bruciato Food Factory,"Shop 17 Rainbow Tower, Sector 20,Airoli, Navi Mumbai",,,Airoli, Mumbai,600,4.2,yes,no,no,yes,no,no
,Theobroma,"G 8, City Park Building, Central Avenue, Hiranadani Gardens,Powai, Mumbai",,,Powai, Mumbai,500,4.3,yes,no,no,no,no,no
,BOX8- Desi Meals,"MahakaliCaves Road, Subhash Nagar, Andheri East, Mahakali, Mumbai",,,Mahakali, Mumbai,500,3.9,yes,no,no,no,no,no
,Blanco,"Andheri Lokhandwala, Andheri West201/202, Samarth Vaibhav Cooperating Housing Society, Opposite link Road,",,,"Andheri Lokhandwala, Andheri West", Mumbai,1400,4.2,no,yes,yes,yes,yes,yes
,The Good Wife,"Ground Floor, The Capital, G Block, Behind ICICI Bank Building,Bandra Kurla Complex, Mumbai",,,Bandra Kurla Complex, Mumbai,2500,4,yes,yes,yes,yes,yes,no
,Patch of Sky,"Hotel Aureole, Bima Nagar Society, Sir Mathuradas Vasanji Road, Telli Gali,Near Andheri East Station, Mumbai",,,Near Andheri East Station, Mumbai,1000,4,no,yes,yes,yes,yes,yes
,AB3 - Akkad Bakkad Bombay Boo,"5, KK Meena Sudhar Marg, Kamala Nagar, Bhagat Colony,Kandivali West, Mumbai",,,Kandivali West, Mumbai,300,4.1,no,no,no,no,no,no
,5 Spice,"Mithi Nadi,   Andheri East,Sakinaka, Mumbai",,,Sakinaka, Mumbai,1200,3.7,yes,no,yes,no,no,no
,Madeira & Mime,"G2, Trans Ocean House, Hiranandani Business Park, Lake Boulevard,Powai, Mumbai",,,Powai, Mumbai,1400,4.7,no,yes,yes,yes,yes,no
,Havana Café & Bar - The Gordon House Hotel,"The Gordon House Hotel, 5 Battery Street, Apollo Bunder,Colaba, Mumbai",,,Colaba, Mumbai,1500,4.4,no,yes,yes,yes,yes,no
,Butter Chicken Factory,"Pali Hill, Bandra WestShop 7, Silver Cross Building, 16th & 33rd Road Junction, Opp Mini Punjab Resturant,",,,"Pali Hill, Bandra West", Mumbai,1000,4.4,yes,no,no,no,no,no
,SpiceKlub,"8A, Janta Industrial Estate, Opposite Phoenix Mills, Senapati Bapat Road,Lower Parel, Mumbai",,,Lower Parel, Mumbai,2100,4.4,yes,no,no,no,yes,no
,Ph Se Food,"18-21, R Galleria, Runwal Greens , Mulund goregaon Link Road, Next to Fortis Hospital,Mulund West, Mumbai",,,Mulund West, Mumbai,1000,4.4,no,no,no,yes,yes,no
,Road House Cafe Bar,"3, New Link Road, Ram Nagar,Malad West, Mumbai",,,Malad West, Mumbai,1000,4.3,no,yes,yes,yes,yes,no
,London Taxi,"A Wing, Ground Floor,Trade Centre, Kamala Mills,Lower Parel, Mumbai",,,Lower Parel, Mumbai,2500,4,no,yes,yes,yes,yes,no
,Barbeque Nation,"3, Ground Floor, Tower A, Times Square, Andheri-Kurla Road,Marol, Mumbai",,,Marol, Mumbai,1900,3.9,no,no,yes,no,yes,no
,Coffee Culture,"Hill Road, Bandra WestGround Floor, Eternia Building, Next to Mcdonalds,",,,"Hill Road, Bandra West", Mumbai,700,4.2,yes,no,no,yes,yes,no
,Carouse Contemporary Kitchen & Bar,"First Floor, P2, Building, Raghuvanshi Mill Compound, Senapati Bapat Marg, Next To Phoenix Mall,Lower Parel, Mumbai",,,Lower Parel, Mumbai,1500,3.4,no,yes,yes,no,yes,no
,Skky - Ramada,"Ramada, 16/17, Paspoli, Saki Vihar Road,Powai, Mumbai",,,Powai, Mumbai,3000,4,no,yes,yes,yes,no,no
,CinCin,"Raheja Towers,Bandra Kurla Complex, Mumbai",,,Bandra Kurla Complex, Mumbai,1800,3.5,no,yes,yes,yes,yes,no
,Jamjar Diner,"Versova, Andheri West7A & B, Arram Nagar 2, Behind Washing Bay, Yari Road,",,,"Versova, Andheri West", Mumbai,1500,3.9,yes,no,yes,yes,yes,no
,Talaiva,"3rd Floor,Trade View Building, Kamala Mills,Lower Parel, Mumbai",,,Lower Parel, Mumbai,1500,4,no,yes,yes,yes,yes,no
,Doolally Taproom,"Reclamation, Bandra WestShop No. 5/6, Geleki, ONGC Colony,",,,"Reclamation, Bandra West", Mumbai,1800,4.3,no,yes,no,no,no,no
,The Little Easy,"Linking Road, Bandra West231 A, Link Corner,",,,"Linking Road, Bandra West", Mumbai,1500,4.2,no,yes,yes,yes,yes,no
,The Fatty Bao,"Shop 1, Ground Floor, Sentinel Building, Hiranandani Business Park,Powai, Mumbai",,,Powai, Mumbai,1800,4.3,yes,no,yes,yes,yes,no
,True Tramm Trunk,"G2C, Trade Centre, Opposite MTNL, Skoda Showroom,Bandra Kurla Complex, Mumbai",,,Bandra Kurla Complex, Mumbai,1500,3.3,no,yes,yes,no,yes,no
,True Tramm Trunk Trerace,"Second Floor, Besides Options Showroom, V.L. Mehta Road, J.V.P.D. Scheme,Juhu, Mumbai",,,Juhu, Mumbai,1500,3.5,no,yes,yes,no,no,yes
